,Influencer insta name,instagram name,category_1,category_2,Followers,Audience country(mostly),"Authentic engagement
","Engagement avg
",New_Category
346,hassan_reyvandi,hasan reyvandi حسن ریوندی,Cinema & Actors/actresses,Humor & Fun & Happiness,18.7M,Iran,330.1K,456.5K,Movies
361,hshq,Harry Styles HQ,Music,Cinema & Actors/actresses,5.5M,United States,488.1K,859.1K,Music & Dance
362,huddy,Chase Hudson,Lifestyle,Art/Artists,11.9M,Brazil,228.4K,317.8K,Lifestyle
363,humansofny,Humans of New York,Lifestyle,Photography,11.8M,United States,181.9K,215.4K,Lifestyle
372,iamcardib,Cardi B,Music,Fashion,127.2M,United States,2.3M,3.3M,Music & Dance
373,iamferv,fer,Lifestyle,Art/Artists,8.8M,Mexico,1M,1.5M,Lifestyle
375,iammichelemorroneofficial,Michele Morrone,Lifestyle,Cinema & Actors/actresses,12.9M,Brazil,654.1K,938.9K,Lifestyle
384,imsebastianstan,Sebastian Stan,Shows,Cinema & Actors/actresses,9M,United States,566.1K,672.9K,Movies
392,isisvalverde,isis valverde,Cinema & Actors/actresses,Lifestyle,27.8M,Brazil,79.4K,117.2K,Movies
394,itsmarziapie,Marzia Kjellberg,Beauty,Lifestyle,8.2M,United States,603.2K,705.1K,Beauty
397,jackharlow,Jack Harlow,Lifestyle,Music,5.1M,United States,330.8K,618.4K,Lifestyle
398,jacksepticeye,Jacksepticeye,Computers & Gadgets,Machinery & Technologies,7.7M,United States,277.7K,322.3K,Science & Technology
402,jadepicon,JADE 🌪,Modeling,Fashion,19.4M,Brazil,375.2K,818.4K,Fashion
403,jailyneojeda,Jailyne Ojeda Ochoa,Modeling,Lifestyle,14.1M,United States,183.1K,253.7K,Fashion
405,jairmessiasbolsonaro,Jair M. Bolsonaro,Finance & Economics,Business & Careers,19.5M,Brazil,150.9K,212.6K,Other
409,jamorant,12 🥷🏽🖤,Lifestyle,Sports with a ball,5.9M,United States,332.9K,537.8K,Lifestyle
410,janhvikapoor,Janhvi Kapoor,Lifestyle,Cinema & Actors/actresses,16.1M,India,951.3K,1.1M,Lifestyle
416,jennaortega,Jenna Ortega,Cinema & Actors/actresses,Lifestyle,7.4M,United States,257.1K,366.1K,Movies
421,jennmuriel,Jenn muriel,Lifestyle,Modeling,5.5M,Colombia,451.5K,562.6K,Lifestyle
423,jeremyrenner,Jeremy Renner,Shows,Cinema & Actors/actresses,17.2M,United States,192.9K,230.8K,Movies
424,jeromepolin,Jerome Polin Sijabat ジェローム,Education,Humor & Fun & Happiness,6.5M,Indonesia,424.2K,622.4K,Education
431,jimmyfallon,Jimmy Fallon,Shows,Humor & Fun & Happiness,21.3M,United States,97.2K,120.9K,Movies
435,jlo,Jennifer Lopez,Music,Cinema & Actors/actresses,200.8M,United States,429.5K,549.9K,Music & Dance
437,joaoguilherme,J҉O҉T҉I҉N҉H҉A҉,Music,Cinema & Actors/actresses,15.5M,Brazil,116.8K,227.1K,Music & Dance
438,joeyking,Joey King,Music,Cinema & Actors/actresses,19.1M,Brazil,541.1K,774.1K,Music & Dance
439,johnnyjsuh,Johnny Suh,Lifestyle,Music,8.1M,Indonesia,1.3M,1.6M,Lifestyle
448,juandediospantoja,JD PANTOJA 🇲🇽,Music,Art/Artists,21.5M,Mexico,519.1K,591.8K,Music & Dance
452,juki_lop,JukiLop,Shows,Family,9.1M,Mexico,493K,573.3K,Movies
453,julesleblanc,julianna,Music,Shows,9.7M,United States,409.5K,592.1K,Music & Dance
454,julianapaes,Juliana Paes,Art/Artists,Cinema & Actors/actresses,30.2M,Brazil,61.4K,95.2K,Art/Artists
456,jungkook_bighitentertainment,JUNGKOOK (전정국) Updates,Management & Marketing,Music,9.9M,Brazil,1.8M,2M,Other
460,justintimberlake,Justin Timberlake,Music,Art/Artists,64.2M,United States,323.3K,432.9K,Music & Dance
467,kapilsharma,Kapil Sharma,Cinema & Actors/actresses,Shows,39.8M,India,690.2K,789.3K,Movies
468,kareenakapoorkhan,Kareena Kapoor Khan,Lifestyle,Cinema & Actors/actresses,8.9M,India,367.4K,458.3K,Lifestyle
478,keerthysureshofficial,Keerthy Suresh,Fashion,Cinema & Actors/actresses,12.5M,India,650.7K,743.6K,Fashion
479,kehlani,Kehlani,Music,Family,13.7M,United States,210.5K,328.2K,Music & Dance
480,kendalljenner,Kendall,Modeling,Fashion,227.4M,United States,3.4M,5.5M,Fashion
489,khloekardashian,Khloé Kardashian,Clothing & Outfits,Lifestyle,230.2M,United States,991.1K,1.2M,Fashion
492,kimberly.loaiza,KIM LOAIZA 🖤,Clothing & Outfits,Lifestyle,33.9M,Mexico,995K,1.2M,Fashion
494,kimkardashian,Kim Kardashian,Fashion,Beauty,296.4M,United States,2M,2.9M,Fashion
497,kingbach,King Bach,Music,Art/Artists,22.1M,United States,120.6K,242K,Music & Dance
503,klaythompson,Klay Thompson,Sports with a ball,Lifestyle,11.6M,United States,202.3K,294.7K,Sports
505,krisjenner,Kris Jenner,Shows,Beauty,46.6M,United States,119.6K,183.4K,Movies
510,kyliejenner,Kylie 🤍,Fashion,Modeling,323.3M,United States,7.6M,12.3M,Fashion
513,l7nnon,L7,Lifestyle,Shows,6.3M,Brazil,214K,507.9K,Lifestyle
515,lacikaysomers,Laci Kay Somers,Music,Modeling,11.8M,United States,147.5K,253.7K,Music & Dance
516,ladivaza,✨LA DIVAZA✨,Music,Modeling,6.8M,Mexico,388.9K,474.5K,Music & Dance
517,ladygaga,Lady Gaga,Music,Cinema & Actors/actresses,51.9M,United States,498.3K,700K,Music & Dance
520,lamborghini,Lamborghini,Luxury,Cars & Motorbikes,31.6M,India,174.4K,240.5K,Lifestyle
522,larasilva,Lara Silva 💦,Shows,Adult content,16.8M,Brazil,789K,1.2M,Movies
524,larray,larri,Lifestyle,Modeling,6.7M,United States,357K,521.5K,Lifestyle
525,laurenlondon,Lauren London,Cinema & Actors/actresses,Modeling,9.7M,United States,217.7K,371.6K,Movies
527,leaelui,Lea Elui G,Modeling,Lifestyle,11.7M,India,428.4K,719.5K,Fashion
529,leeyoum262,이유미,Photography,Humor & Fun & Happiness,8.1M,South Korea,562.7K,688.8K,Business & Careers
532,leomessi,Leo Messi,Sports with a ball,Family,315.4M,Argentina,4M,5.3M,Sports
534,ler_chek,Валерия Чекалина,Lifestyle,Beauty,10.5M,Russia,713K,923.3K,Lifestyle
536,letthelordbewithyou,Scott Disick,Lifestyle,Family,26.5M,United States,61.5K,92.2K,Lifestyle
538,lexibrookerivera,Lexi Rivera,Shows,Humor & Fun & Happiness,8.4M,United States,778K,975.4K,Movies
541,lildurk,DURKIOOO,Music,Art/Artists,13M,United States,162.1K,458.2K,Music & Dance
553,lizasoberano,Liza Soberano,Beauty,Cinema & Actors/actresses,16.9M,Philippines,243.1K,289.9K,Beauty
554,lizgillz,Elizabeth Gillies,Music,Cinema & Actors/actresses,13.9M,Mexico,563K,816.3K,Music & Dance
555,lizzobeeating,Lizzo,Music,Lifestyle,12.1M,United States,213.1K,298.3K,Music & Dance
558,loren,loren gray,Fashion,Modeling,22.5M,United States,137.3K,227.3K,Fashion
560,loud_victor,Victor Augusto,Lifestyle,Sports with a ball,10.4M,Brazil,511.2K,652.3K,Lifestyle
562,louisvuitton,Louis Vuitton,Fashion,Clothing & Outfits,47.7M,Brazil,46.2K,59.7K,Fashion
563,lucas_lira,Lucas Lira,Humor & Fun & Happiness,Lifestyle,5.8M,Brazil,296.5K,434.3K,Humor
567,luisafernandaw,Luisa Fernanda W,Lifestyle,Beauty,16.9M,Colombia,106.3K,162.1K,Lifestyle
568,luisasonza,LUÍSA SONZA,Music,Lifestyle,28.2M,Brazil,125.1K,198.9K,Music & Dance
569,luisitocomunica,Luisillo El Pillo,Humor & Fun & Happiness,Clothing & Outfits,31.7M,Mexico,939.8K,1.2M,Humor
578,maddieziegler,maddie,Cinema & Actors/actresses,Modeling,13.9M,United States,533.4K,799.9K,Movies
581,madhuridixitnene,Madhuri Dixit,Music,Cinema & Actors/actresses,30.6M,India,297.2K,343.1K,Music & Dance
584,mahnaz_afshar,Mahe Man,Cinema & Actors/actresses,Lifestyle,15.7M,Iran,154.3K,212.9K,Movies
603,marktuan,Mark Tuan,Music,Cinema & Actors/actresses,12.1M,Thailand,667.1K,877.2K,Music & Dance
606,marvel,Marvel Entertainment,Cinema & Actors/actresses,Comics & sketches,62.7M,United States,180.1K,212.5K,Movies
607,marvelstudios,Marvel Studios,Cinema & Actors/actresses,Comics & sketches,36.1M,India,225.5K,252.6K,Movies
608,mathildtantot,Mathilde,Lifestyle,Modeling,10.3M,United States,310.2K,470K,Lifestyle
610,maudeapatow,Maude Apatow,Lifestyle,Cinema & Actors/actresses,4.8M,United States,577K,955.1K,Lifestyle
620,mercedesbenz,Mercedes-Benz,Cars & Motorbikes,Luxury,35.3M,Iran,75K,106.8K,Autos & Vehicles
621,miakhalifa,Mia K.,Fitness & Gym,Lifestyle,27.7M,India,1.5M,2.3M,Lifestyle
624,michelleobama,Michelle Obama,Finance & Economics,Business & Careers,49.1M,United States,132.3K,150.2K,Other
635,mirandacosgrove,Miranda Cosgrove,Music,Cinema & Actors/actresses,9.8M,Brazil,213.5K,333.6K,Music & Dance
640,mohanshakti,Shakti Mohan,Art/Artists,Cinema & Actors/actresses,14.9M,India,207K,248K,Art/Artists
643,mr_faisu_07,FAISAL SHAIKH,Modeling,Cinema & Actors/actresses,26.9M,India,362K,462.1K,Fashion
644,mrbeast,MrBeast,Shows,Humor & Fun & Happiness,18M,United States,1.4M,1.8M,Movies
650,nadin_serovski,Nadin Serovski,Family,Lifestyle,9.4M,Russia,515.7K,710.1K,Other
651,nadine,小宮希美 🤍,Music,Shows,11.1M,Philippines,319.9K,354.6K,Music & Dance
655,narendramodi,Narendra Modi,Finance & Economics,Business & Careers,66.5M,India,1.5M,1.7M,Other
657,nasa,NASA,Science,Photography,75.3M,India,564.5K,653.2K,Science & Technology
658,natalee.007,Natalie Lee,Modeling,Music,6.9M,United States,286.6K,366.1K,Fashion
660,natgeo,National Geographic,Nature & landscapes,Science,214.6M,United States,124.7K,145.5K,Travel
661,natgeotravel,National Geographic Travel,Nature & landscapes,Photography,45.4M,United States,50.6K,56.9K,Travel
662,nattinatasha,NATTI NATASHA,Music,Cinema & Actors/actresses,35.4M,Mexico,281.1K,338.3K,Music & Dance
672,neslihanatagul,Neslihan Atagül Doğulu,Cinema & Actors/actresses,Modeling,13M,Turkey,670.6K,842.6K,Movies
674,netflix,Netflix US,Cinema & Actors/actresses,Shows,29.5M,Brazil,65K,105.9K,Movies
675,netflixbrasil,Netflix Brasil,Shows,Cinema & Actors/actresses,29.9M,Brazil,103.7K,177.5K,Movies
678,nianaguerrero,Niana,Music,Kids & Toys,14M,Indonesia,410.6K,514.8K,Music & Dance
681,nickjonas,Nick Jonas,Music,Art/Artists,32.3M,United States,164K,233K,Music & Dance
684,nike,Nike,Fitness & Gym,Shopping & Retail,208.9M,United States,129.5K,175.5K,Lifestyle
685,nikefootball,Nike Football (Soccer),Sports with a ball,Clothing & Outfits,44.3M,Brazil,74.8K,117.4K,Sports
686,nikitadragun,Nikita,Beauty,Modeling,9.1M,United States,368K,562.1K,Beauty
689,nita_shilimkar,Nita Shilimkar,Fashion,Modeling,10.3M,India,351.1K,464.9K,Fashion
695,nolimitherbo,G HERBO,Music,Art/Artists,7.4M,United States,156.2K,374.7K,Music & Dance
697,norafatehi,Nora Fatehi,Cinema & Actors/actresses,Music,38.6M,India,865.8K,1.1M,Movies
