Influencer_insta_name,category_1,followers,audience_country,"authentic_engagement
","engagement_avg
"
gianlucavacchi,Travel/ Lifestyle,22200000,Brazil,511400,787200
giannis_an34,Sports,12300000,United States,217800,344600
gigihadid,Fashion/ Beauty,73200000,United States,1900000,2800000
gima_ashi,Travel/ Lifestyle,13900000,India,145100,197800
gioewbank,Celebrity/ Entertainment,28000000,Brazil,181400,290600
gisele,Fashion/ Beauty,18900000,Brazil,274600,408000
goar_avetisyan,Fashion/ Beauty,11500000,Russia,510500,707900
golfarahani,Celebrity/ Entertainment,12600000,Iran,307500,395700
grantgust,Celebrity/ Entertainment,7800000,Brazil,343400,487300
greeicy,Celebrity/ Entertainment,20400000,Colombia,201400,270900
grefg_official,Business/ Tech/ Gaming,7100000,Spain,440100,546100
gucci,Fashion/ Beauty,47900000,United States,57900,74300
gururandhawa,Celebrity/ Entertainment,31500000,India,110800,135400
gusein.gasanov,Celebrity/ Entertainment,21000000,Russia,524500,786100
gusttavolima,Celebrity/ Entertainment,42900000,Brazil,46900,79800
hadise,Celebrity/ Entertainment,13700000,Turkey,220700,257200
haileesteinfeld,Celebrity/ Entertainment,18200000,United States,1500000,1900000
haileybieber,Travel/ Lifestyle,42200000,United States,1800000,2400000
hakkiakdenizz,Business/ Tech/ Gaming,17600000,Russia,120200,174400
handemiyy,Celebrity/ Entertainment,27300000,Turkey,2100000,2800000
hannahstocking,Fashion/ Beauty,21000000,United States,237200,337800
hardikpandya93,Sports,20600000,India,860300,1100000
harrykane,Sports,12300000,United Kingdom,148300,204400
harrystyles,Celebrity/ Entertainment,43300000,Brazil,2900000,3900000
hassan_reyvandi,Celebrity/ Entertainment,18700000,Iran,330100,456500
hegdepooja,Celebrity/ Entertainment,18800000,India,831700,959300
helen_yes1,Celebrity/ Entertainment,10500000,Russia,342400,442600
henrycavill,Celebrity/ Entertainment,19700000,Brazil,795100,966500
heybiblee,Fashion/ Beauty,13500000,Indonesia,971100,1300000
hi_high_hiy,Celebrity/ Entertainment,12900000,South Korea,2600000,3000000
hi_songjoongki,Celebrity/ Entertainment,8800000,Indonesia,1700000,2400000
hi_sseulgi,Fashion/ Beauty,11900000,Indonesia,849600,1100000
hichasestokes,Travel/ Lifestyle,7400000,United States,640900,959800
hilaryduff,Celebrity/ Entertainment,20600000,United States,147300,188200
hoooooyeony,Travel/ Lifestyle,23700000,South Korea,2000000,2700000
houseofhighlights,Sports,32700000,United States,64600,117200
